LocNumber,GeogScheme1,GeogName1,GeogScheme2,GeogName2,GeogScheme3,GeogName3,GeogScheme4,GeogName4,GeogScheme5,GeogName5,Longitude,Latitude,CountryCode,ConstructionCode,OccupancyCode
50,0,0,0,0,0,0,0,0,0,0,-0.8675218,52.7764892,GB,5000,1050
51,0,0,0,0,0,0,0,0,0,0,-0.8674591,52.7766234,GB,5000,1050
52,0,0,0,0,0,0,0,0,0,0,-0.8673669,52.7767484,GB,5000,1050
53,0,0,0,0,0,0,0,0,0,0,-0.8820443,52.7570377,GB,5000,1050
54,0,0,0,0,0,0,0,0,0,0,-0.8822845,52.7569141,GB,5000,1050
55,0,0,0,0,0,0,0,0,0,0,-0.8824012,52.7569872,GB,5000,1050
56,0,0,0,0,0,0,0,0,0,0,-0.8824012,52.7569872,GB,5000,1050
57,0,0,0,0,0,0,0,0,0,0,-0.8822713,52.7568511,GB,5000,1050
58,0,0,0,0,0,0,0,0,0,0,-0.8822426,52.7568148,GB,5000,1050
59,0,0,0,0,0,0,0,0,0,0,-0.8819878,52.7569293,GB,5000,1050
60,0,0,0,0,0,0,0,0,0,0,-0.8822287,52.7567788,GB,5000,1050
61,0,0,0,0,0,0,0,0,0,0,-0.8819591,52.7568931,GB,5000,1050
62,0,0,0,0,0,0,0,0,0,0,-0.8822,52.7567425,GB,5000,1050
63,0,0,0,0,0,0,0,0,0,0,-0.8819303,52.7568569,GB,5000,1050
64,0,0,0,0,0,0,0,0,0,0,-0.8821715,52.7566973,GB,5000,1050
65,0,0,0,0,0,0,0,0,0,0,-0.8819016,52.7568206,GB,5000,1050
66,0,0,0,0,0,0,0,0,0,0,-0.882128,52.7566609,GB,5000,1050
67,0,0,0,0,0,0,0,0,0,0,-0.8818586,52.7567663,GB,5000,1050
68,0,0,0,0,0,0,0,0,0,0,-0.8820995,52.7566157,GB,5000,1050
69,0,0,0,0,0,0,0,0,0,0,-0.8820995,52.7566157,GB,5000,1050
70,0,0,0,0,0,0,0,0,0,0,-0.8819548,52.7564795,GB,5000,1050
71,0,0,0,0,0,0,0,0,0,0,-0.8818299,52.75673,GB,5000,1050
72,0,0,0,0,0,0,0,0,0,0,-0.8818012,52.7566938,GB,5000,1050
73,0,0,0,0,0,0,0,0,0,0,-0.8817724,52.7566576,GB,5000,1050
74,0,0,0,0,0,0,0,0,0,0,-0.881744,52.7566124,GB,5000,1050
75,0,0,0,0,0,0,0,0,0,0,-0.8773307,52.7674666,GB,5000,1050
76,0,0,0,0,0,0,0,0,0,0,-0.8773754,52.767458,GB,5000,1050
77,0,0,0,0,0,0,0,0,0,0,-0.8774203,52.7674404,GB,5000,1050
78,0,0,0,0,0,0,0,0,0,0,-0.8774745,52.7676387,GB,5000,1050
79,0,0,0,0,0,0,0,0,0,0,-0.87748,52.767423,GB,5000,1050
80,0,0,0,0,0,0,0,0,0,0,-0.8775192,52.7676302,GB,5000,1050
81,0,0,0,0,0,0,0,0,0,0,-0.8775247,52.7674145,GB,5000,1050
82,0,0,0,0,0,0,0,0,0,0,-0.8775789,52.7676127,GB,5000,1050
83,0,0,0,0,0,0,0,0,0,0,-0.8775696,52.7673969,GB,5000,1050
84,0,0,0,0,0,0,0,0,0,0,-0.8776238,52.7675952,GB,5000,1050
85,0,0,0,0,0,0,0,0,0,0,-0.8776294,52.7673795,GB,5000,1050
86,0,0,0,0,0,0,0,0,0,0,-0.8776984,52.7675779,GB,5000,1050
87,0,0,0,0,0,0,0,0,0,0,-0.8776741,52.7673709,GB,5000,1050
88,0,0,0,0,0,0,0,0,0,0,-0.8777433,52.7675604,GB,5000,1050
89,0,0,0,0,0,0,0,0,0,0,-0.8777338,52.7673535,GB,5102,1050
90,0,0,0,0,0,0,0,0,0,0,-0.8777882,52.7675428,GB,5102,1050
91,0,0,0,0,0,0,0,0,0,0,-0.8777787,52.7673359,GB,5102,1050
92,0,0,0,0,0,0,0,0,0,0,-0.8778329,52.7675342,GB,5102,1050
93,0,0,0,0,0,0,0,0,0,0,-0.8778236,52.7673184,GB,5102,1050
94,0,0,0,0,0,0,0,0,0,0,-0.877967,52.7675085,GB,5102,1050
95,0,0,0,0,0,0,0,0,0,0,-0.8778683,52.7673098,GB,5102,1050
96,0,0,0,0,0,0,0,0,0,0,-0.8780415,52.7674913,GB,5102,1050
97,0,0,0,0,0,0,0,0,0,0,-0.877928,52.7672924,GB,5102,1050
98,0,0,0,0,0,0,0,0,0,0,-0.8781161,52.767474,GB,5102,1050
99,0,0,0,0,0,0,0,0,0,0,-0.8780325,52.7672664,GB,5102,1050
100,0,0,0,0,0,0,0,0,0,0,-0.8781906,52.7674567,GB,5102,1050
101,0,0,0,0,0,0,0,0,0,0,-0.8781371,52.7672315,GB,5102,1050
102,0,0,0,0,0,0,0,0,0,0,-0.8781371,52.7672315,GB,5102,1050
103,0,0,0,0,0,0,0,0,0,0,-0.8796863,52.7669314,GB,5102,1050
104,0,0,0,0,0,0,0,0,0,0,-0.8797309,52.7669229,GB,5102,1050
105,0,0,0,0,0,0,0,0,0,0,-0.8790933,52.7671618,GB,5102,1050
106,0,0,0,0,0,0,0,0,0,0,-0.8793428,52.7670661,GB,5102,1050
107,0,0,0,0,0,0,0,0,0,0,-0.8795207,52.7670071,GB,5102,1050
108,0,0,0,0,0,0,0,0,0,0,-0.8792029,52.7671272,GB,5102,1050
109,0,0,0,0,0,0,0,0,0,0,-0.8794662,52.7670673,GB,5102,1050
110,0,0,0,0,0,0,0,0,0,0,-0.8789812,52.7671751,GB,5102,1050
111,0,0,0,0,0,0,0,0,0,0,-0.8793772,52.7670985,GB,5102,1050
112,0,0,0,0,0,0,0,0,0,0,-0.8794348,52.7670349,GB,5102,1050
113,0,0,0,0,0,0,0,0,0,0,-0.8791307,52.7671926,GB,5102,1050
114,0,0,0,0,0,0,0,0,0,0,-0.8795494,52.7670378,GB,5102,1050
115,0,0,0,0,0,0,0,0,0,0,-0.8790239,52.7672308,GB,5102,1050
116,0,0,0,0,0,0,0,0,0,0,-0.8789953,52.7671966,GB,5102,1050
117,0,0,0,0,0,0,0,0,0,0,-0.8792317,52.767156,GB,5102,1050
118,0,0,0,0,0,0,0,0,0,0,-0.8789496,52.767148,GB,5102,1050
119,0,0,0,0,0,0,0,0,0,0,-0.8793228,52.7670427,GB,5102,1050
120,0,0,0,0,0,0,0,0,0,0,-0.8794979,52.7669819,GB,5102,1050
121,0,0,0,0,0,0,0,0,0,0,-0.8794118,52.7670115,GB,5102,1050
122,0,0,0,0,0,0,0,0,0,0,-0.8791514,52.7670732,GB,5102,1050
123,0,0,0,0,0,0,0,0,0,0,-0.8793028,52.7670175,GB,5102,1050
124,0,0,0,0,0,0,0,0,0,0,-0.8790503,52.7671133,GB,5102,1050
125,0,0,0,0,0,0,0,0,0,0,-0.879475,52.7669585,GB,5102,1050
126,0,0,0,0,0,0,0,0,0,0,-0.8790761,52.7671421,GB,5102,1050
127,0,0,0,0,0,0,0,0,0,0,-0.8793917,52.7669899,GB,5102,1050
128,0,0,0,0,0,0,0,0,0,0,-0.8791684,52.7671001,GB,5102,1050
129,0,0,0,0,0,0,0,0,0,0,-0.8983662,52.7761323,GB,5102,1050
130,0,0,0,0,0,0,0,0,0,0,-0.8984933,52.7763852,GB,5102,1050
131,0,0,0,0,0,0,0,0,0,0,-0.8985591,52.7761251,GB,5102,1050
132,0,0,0,0,0,0,0,0,0,0,-0.898672,52.7763509,GB,5102,1050
133,0,0,0,0,0,0,0,0,0,0,-0.8986335,52.7761168,GB,5102,1050
134,0,0,0,0,0,0,0,0,0,0,-0.8987466,52.7763336,GB,5102,1050
135,0,0,0,0,0,0,0,0,0,0,-0.8987675,52.776091,GB,5102,1050
136,0,0,0,0,0,0,0,0,0,0,-0.8989103,52.7763081,GB,5102,1050
137,0,0,0,0,0,0,0,0,0,0,-0.8989312,52.7760656,GB,5102,1050
138,0,0,0,0,0,0,0,0,0,0,-0.8989997,52.776291,GB,5102,1050
139,0,0,0,0,0,0,0,0,0,0,-0.8990058,52.7760483,GB,5102,1050
140,0,0,0,0,0,0,0,0,0,0,-0.8991632,52.7762745,GB,5102,1050
141,0,0,0,0,0,0,0,0,0,0,-0.8991547,52.7760227,GB,5102,1050
142,0,0,0,0,0,0,0,0,0,0,-0.8992525,52.7762573,GB,5102,1050
143,0,0,0,0,0,0,0,0,0,0,-0.899229,52.7760144,GB,5102,1050
144,0,0,0,0,0,0,0,0,0,0,-0.8994019,52.7762138,GB,5102,1050
145,0,0,0,0,0,0,0,0,0,0,-0.8993781,52.7759798,GB,5102,1050
146,0,0,0,0,0,0,0,0,0,0,-0.8994762,52.7762055,GB,5102,1050
147,0,0,0,0,0,0,0,0,0,0,-0.8994673,52.7759717,GB,5102,1050
148,0,0,0,0,0,0,0,0,0,0,-0.8996397,52.776189,GB,5102,1050
149,0,0,0,0,0,0,0,0,0,0,-0.899631,52.7759462,GB,5102,1050
150,0,0,0,0,0,0,0,0,0,0,-0.8997286,52.7761898,GB,5102,1050
151,0,0,0,0,0,0,0,0,0,0,-0.8997051,52.7759469,GB,5102,1050
152,0,0,0,0,0,0,0,0,0,0,-0.9000239,52.7762375,GB,5102,1050
153,0,0,0,0,0,0,0,0,0,0,-0.8999876,52.7759136,GB,5102,1050
154,0,0,0,0,0,0,0,0,0,0,-0.8985243,52.7610576,GB,5102,1050
155,0,0,0,0,0,0,0,0,0,0,-0.8988293,52.7613031,GB,5102,1050
156,0,0,0,0,0,0,0,0,0,0,-0.8985986,52.7610493,GB,5102,1050
157,0,0,0,0,0,0,0,0,0,0,-0.8989182,52.7613039,GB,5102,1102
158,0,0,0,0,0,0,0,0,0,0,-0.8986583,52.7610318,GB,5102,1102
159,0,0,0,0,0,0,0,0,0,0,-0.8989777,52.7612955,GB,5102,1102
160,0,0,0,0,0,0,0,0,0,0,-0.8987326,52.7610235,GB,5102,1102
161,0,0,0,0,0,0,0,0,0,0,-0.8990518,52.7612962,GB,5102,1102
162,0,0,0,0,0,0,0,0,0,0,-0.8991703,52.7612973,GB,5102,1102
163,0,0,0,0,0,0,0,0,0,0,-0.899274,52.7612983,GB,5102,1102
164,0,0,0,0,0,0,0,0,0,0,-0.8994361,52.7613357,GB,5102,1102
165,0,0,0,0,0,0,0,0,0,0,-0.9004879,52.7607611,GB,5102,1102
166,0,0,0,0,0,0,0,0,0,0,-0.8987981,52.7519622,GB,5102,1102
167,0,0,0,0,0,0,0,0,0,0,-0.898523,52.751708,GB,5102,1102
168,0,0,0,0,0,0,0,0,0,0,-0.8986933,52.7520062,GB,5102,1102
169,0,0,0,0,0,0,0,0,0,0,-0.8984027,52.7517788,GB,5102,1102
170,0,0,0,0,0,0,0,0,0,0,-0.89856,52.752005,GB,5102,1102
171,0,0,0,0,0,0,0,0,0,0,-0.8982058,52.7519478,GB,5102,1102
172,0,0,0,0,0,0,0,0,0,0,-0.898305,52.7521285,GB,5102,1102
173,0,0,0,0,0,0,0,0,0,0,-0.8981334,52.7518842,GB,5102,1102
174,0,0,0,0,0,0,0,0,0,0,-0.8983766,52.752228,GB,5102,1102
175,0,0,0,0,0,0,0,0,0,0,-0.8980458,52.7518294,GB,5102,1102
176,0,0,0,0,0,0,0,0,0,0,-0.8984636,52.7523008,GB,5102,1102
177,0,0,0,0,0,0,0,0,0,0,-0.897988,52.7517749,GB,5102,1102
178,0,0,0,0,0,0,0,0,0,0,-0.8985208,52.7523822,GB,5102,1102
179,0,0,0,0,0,0,0,0,0,0,-0.8837321,52.7599933,GB,5102,1102
180,0,0,0,0,0,0,0,0,0,0,-0.8838536,52.7598776,GB,5102,1102
181,0,0,0,0,0,0,0,0,0,0,-0.883823,52.7599133,GB,5102,1102
182,0,0,0,0,0,0,0,0,0,0,-0.883823,52.7599133,GB,5102,1102
183,0,0,0,0,0,0,0,0,0,0,-0.8838841,52.7598419,GB,5102,1102
184,0,0,0,0,0,0,0,0,0,0,-0.8839149,52.7597973,GB,5102,1102
185,0,0,0,0,0,0,0,0,0,0,-0.8838536,52.7598776,GB,5102,1102
186,0,0,0,0,0,0,0,0,0,0,-0.8839329,52.7596716,GB,5102,1102
187,0,0,0,0,0,0,0,0,0,0,-0.8839639,52.7596179,GB,5102,1102
188,0,0,0,0,0,0,0,0,0,0,-0.8839956,52.7595373,GB,5102,1102
189,0,0,0,0,0,0,0,0,0,0,-0.8840269,52.7594747,GB,5102,1102
190,0,0,0,0,0,0,0,0,0,0,-0.8840586,52.7593941,GB,5102,1102
191,0,0,0,0,0,0,0,0,0,0,-0.884075,52.7593313,GB,5102,1102
192,0,0,0,0,0,0,0,0,0,0,-0.8841509,52.7592601,GB,5102,1102
193,0,0,0,0,0,0,0,0,0,0,-0.8841819,52.7592065,GB,5102,1102
194,0,0,0,0,0,0,0,0,0,0,-0.8842136,52.7591258,GB,5102,1102
195,0,0,0,0,0,0,0,0,0,0,-0.8842296,52.759081,GB,5102,1102
196,0,0,0,0,0,0,0,0,0,0,-0.8842613,52.7590004,GB,5102,1102
197,0,0,0,0,0,0,0,0,0,0,-0.8843698,52.7588127,GB,5102,1102
198,0,0,0,0,0,0,0,0,0,0,-0.8843855,52.7587769,GB,5102,1102
199,0,0,0,0,0,0,0,0,0,0,-0.8844166,52.7587232,GB,5102,1102
200,0,0,0,0,0,0,0,0,0,0,-0.8844323,52.7586874,GB,5102,1102
201,0,0,0,0,0,0,0,0,0,0,-0.8844482,52.7586426,GB,5102,1102
202,0,0,0,0,0,0,0,0,0,0,-0.8844642,52.7585978,GB,5102,1102
203,0,0,0,0,0,0,0,0,0,0,-0.8845397,52.7585446,GB,5102,1102
204,0,0,0,0,0,0,0,0,0,0,-0.8845709,52.7584819,GB,5102,1102
205,0,0,0,0,0,0,0,0,0,0,-0.8846024,52.7584103,GB,5102,1102
206,0,0,0,0,0,0,0,0,0,0,-0.8846334,52.7583567,GB,5102,1102
207,0,0,0,0,0,0,0,0,0,0,-0.8846648,52.758285,GB,5102,1102
208,0,0,0,0,0,0,0,0,0,0,-0.8846815,52.7582133,GB,5102,1102
209,0,0,0,0,0,0,0,0,0,0,-0.8846981,52.7581415,GB,5102,1102
210,0,0,0,0,0,0,0,0,0,0,-0.8847294,52.7580789,GB,5102,1102
211,0,0,0,0,0,0,0,0,0,0,-0.8847754,52.7580164,GB,5102,1102
212,0,0,0,0,0,0,0,0,0,0,-0.8848108,52.757792,GB,5102,1102
213,0,0,0,0,0,0,0,0,0,0,-0.884832,52.7575404,GB,5102,1102
214,0,0,0,0,0,0,0,0,0,0,-0.8851933,52.7573191,GB,5102,1102
215,0,0,0,0,0,0,0,0,0,0,-0.8853153,52.7571854,GB,5102,1102
216,0,0,0,0,0,0,0,0,0,0,-0.9018676,52.7695391,GB,5102,1102
217,0,0,0,0,0,0,0,0,0,0,-0.9019559,52.7695669,GB,5102,1102
218,0,0,0,0,0,0,0,0,0,0,-0.9021032,52.7696042,GB,5102,1102
219,0,0,0,0,0,0,0,0,0,0,-0.9022064,52.7696232,GB,5102,1102
220,0,0,0,0,0,0,0,0,0,0,-0.9023245,52.7696422,GB,5102,1102
221,0,0,0,0,0,0,0,0,0,0,-0.9024128,52.76967,GB,5102,1102
222,0,0,0,0,0,0,0,0,0,0,-0.9025902,52.7696896,GB,5102,1102
223,0,0,0,0,0,0,0,0,0,0,-0.9026638,52.7697083,GB,5102,1102
224,0,0,0,0,0,0,0,0,0,0,-0.8902957,52.7670401,GB,5102,1102
225,0,0,0,0,0,0,0,0,0,0,-0.890608,52.7669981,GB,5102,1102
226,0,0,0,0,0,0,0,0,0,0,-0.890608,52.7669981,GB,5102,1102
227,0,0,0,0,0,0,0,0,0,0,-0.8908305,52.7669912,GB,5102,1102
228,0,0,0,0,0,0,0,0,0,0,-0.8909194,52.766992,GB,5102,1102
229,0,0,0,0,0,0,0,0,0,0,-0.8910366,52.7670471,GB,5102,1102
230,0,0,0,0,0,0,0,0,0,0,-0.8910379,52.7669931,GB,5102,1102
231,0,0,0,0,0,0,0,0,0,0,-0.8911567,52.7669852,GB,5102,1102
232,0,0,0,0,0,0,0,0,0,0,-0.8912606,52.7669772,GB,5102,1102
233,0,0,0,0,0,0,0,0,0,0,-0.8913794,52.7669693,GB,5102,1102
234,0,0,0,0,0,0,0,0,0,0,-0.8915073,52.7671863,GB,5102,1102
235,0,0,0,0,0,0,0,0,0,0,-0.8915073,52.7671863,GB,5102,1102
236,0,0,0,0,0,0,0,0,0,0,-0.8915866,52.7669803,GB,5102,1102
237,0,0,0,0,0,0,0,0,0,0,-0.8915866,52.7669803,GB,5102,1102
238,0,0,0,0,0,0,0,0,0,0,-0.8915866,52.7669803,GB,5102,1102
239,0,0,0,0,0,0,0,0,0,0,-0.8915866,52.7669803,GB,5102,1102
240,0,0,0,0,0,0,0,0,0,0,-0.89172,52.7669815,GB,5102,1102
241,0,0,0,0,0,0,0,0,0,0,-0.891942,52.7669926,GB,5102,1102
242,0,0,0,0,0,0,0,0,0,0,-0.8920608,52.7669847,GB,5102,1102
243,0,0,0,0,0,0,0,0,0,0,-0.8920442,52.7670565,GB,5102,1102
244,0,0,0,0,0,0,0,0,0,0,-0.8920608,52.7669847,GB,5102,1102
245,0,0,0,0,0,0,0,0,0,0,-0.8920608,52.7669847,GB,5102,1102
246,0,0,0,0,0,0,0,0,0,0,-0.8920608,52.7669847,GB,5102,1102
247,0,0,0,0,0,0,0,0,0,0,-0.8923127,52.7669871,GB,5102,1102
248,0,0,0,0,0,0,0,0,0,0,-0.8924313,52.7669882,GB,5102,1102
249,0,0,0,0,0,0,0,0,0,0,-0.8926843,52.7669456,GB,5102,1102
250,0,0,0,0,0,0,0,0,0,0,-0.8930253,52.7669398,GB,5102,1102
251,0,0,0,0,0,0,0,0,0,0,-0.893174,52.7669232,GB,5102,1102
252,0,0,0,0,0,0,0,0,0,0,-0.8932627,52.766933,GB,5102,1102
253,0,0,0,0,0,0,0,0,0,0,-0.8934257,52.7669345,GB,5102,1102
254,0,0,0,0,0,0,0,0,0,0,-0.893841,52.7669204,GB,5102,1102
255,0,0,0,0,0,0,0,0,0,0,-0.8941476,52.7671031,GB,5102,1102
256,0,0,0,0,0,0,0,0,0,0,-0.893034,52.7665982,GB,5102,1102
257,0,0,0,0,0,0,0,0,0,0,-0.8931081,52.7665989,GB,5102,1102
258,0,0,0,0,0,0,0,0,0,0,-0.8972006,52.7671135,GB,5102,1102
259,0,0,0,0,0,0,0,0,0,0,-0.8951505,52.7667168,GB,5102,1102
260,0,0,0,0,0,0,0,0,0,0,-0.8973185,52.7671416,GB,5102,1102
261,0,0,0,0,0,0,0,0,0,0,-0.895328,52.7667275,GB,5102,1102
262,0,0,0,0,0,0,0,0,0,0,-0.8975562,52.7671168,GB,5102,1102
263,0,0,0,0,0,0,0,0,0,0,-0.8954461,52.7667466,GB,5102,1102
264,0,0,0,0,0,0,0,0,0,0,-0.897675,52.7671089,GB,5102,1102
265,0,0,0,0,0,0,0,0,0,0,-0.8956244,52.7667302,GB,5102,1102
266,0,0,0,0,0,0,0,0,0,0,-0.8977931,52.767128,GB,5102,1102
267,0,0,0,0,0,0,0,0,0,0,-0.8956837,52.7667308,GB,5102,1102
268,0,0,0,0,0,0,0,0,0,0,-0.8983265,52.7671329,GB,5102,1102
269,0,0,0,0,0,0,0,0,0,0,-0.8957726,52.7667316,GB,5102,1102
270,0,0,0,0,0,0,0,0,0,0,-0.8984451,52.767134,GB,5102,1102
271,0,0,0,0,0,0,0,0,0,0,-0.8958613,52.7667414,GB,5102,1102
272,0,0,0,0,0,0,0,0,0,0,-0.8985935,52.7671264,GB,5102,1102
273,0,0,0,0,0,0,0,0,0,0,-0.8959354,52.7667421,GB,5102,1102
274,0,0,0,0,0,0,0,0,0,0,-0.8988609,52.7671019,GB,5102,1102
275,0,0,0,0,0,0,0,0,0,0,-0.8960094,52.7667428,GB,5102,1102
276,0,0,0,0,0,0,0,0,0,0,-0.8989503,52.7670848,GB,5102,1102
277,0,0,0,0,0,0,0,0,0,0,-0.8960689,52.7667344,GB,5102,1102
278,0,0,0,0,0,0,0,0,0,0,-0.8991142,52.7670503,GB,5102,1102
279,0,0,0,0,0,0,0,0,0,0,-0.8960689,52.7667344,GB,5102,1102
280,0,0,0,0,0,0,0,0,0,0,-0.8991887,52.7670331,GB,5102,1102
281,0,0,0,0,0,0,0,0,0,0,-0.896425,52.7667197,GB,5102,1102
282,0,0,0,0,0,0,0,0,0,0,-0.8996811,52.7669028,GB,5102,1102
283,0,0,0,0,0,0,0,0,0,0,-0.896469,52.7667381,GB,5102,1102
284,0,0,0,0,0,0,0,0,0,0,-0.8997853,52.7668858,GB,5102,1102
285,0,0,0,0,0,0,0,0,0,0,-0.8965126,52.7667745,GB,5102,1102
286,0,0,0,0,0,0,0,0,0,0,-0.8999193,52.76686,GB,5102,1102
287,0,0,0,0,0,0,0,0,0,0,-0.8999941,52.7668338,GB,5102,1102
288,0,0,0,0,0,0,0,0,0,0,-0.8975646,52.7667842,GB,5102,1102
289,0,0,0,0,0,0,0,0,0,0,-0.9001582,52.7667903,GB,5102,1102
290,0,0,0,0,0,0,0,0,0,0,-0.8976239,52.7667848,GB,5102,1102
291,0,0,0,0,0,0,0,0,0,0,-0.900218,52.7667729,GB,5102,1102
292,0,0,0,0,0,0,0,0,0,0,-0.897698,52.7667855,GB,5102,1102
293,0,0,0,0,0,0,0,0,0,0,-0.9007532,52.7667059,GB,5102,1102
294,0,0,0,0,0,0,0,0,0,0,-0.8977869,52.7667863,GB,5102,1102
295,0,0,0,0,0,0,0,0,0,0,-0.9008423,52.7666978,GB,5102,1102
296,0,0,0,0,0,0,0,0,0,0,-0.8978462,52.7667869,GB,5102,1102
297,0,0,0,0,0,0,0,0,0,0,-0.9009764,52.7666721,GB,5102,1102
298,0,0,0,0,0,0,0,0,0,0,-0.8979054,52.7667874,GB,5102,1102
299,0,0,0,0,0,0,0,0,0,0,-0.9010801,52.766673,GB,5102,1102
300,0,0,0,0,0,0,0,0,0,0,-0.8979795,52.7667881,GB,5102,1102
301,0,0,0,0,0,0,0,0,0,0,-0.8980979,52.7667982,GB,5102,1102
302,0,0,0,0,0,0,0,0,0,0,-0.8981719,52.7667989,GB,5102,1102
303,0,0,0,0,0,0,0,0,0,0,-0.8982463,52.7667906,GB,5102,1102
304,0,0,0,0,0,0,0,0,0,0,-0.8984542,52.7667745,GB,5102,1102
305,0,0,0,0,0,0,0,0,0,0,-0.8986042,52.766704,GB,5102,1102
306,0,0,0,0,0,0,0,0,0,0,-0.8987972,52.7666878,GB,5102,1102
307,0,0,0,0,0,0,0,0,0,0,-0.8991715,52.7665385,GB,5102,1102
308,0,0,0,0,0,0,0,0,0,0,-0.8994385,52.7665319,GB,5102,1102
309,0,0,0,0,0,0,0,0,0,0,-0.8995582,52.7664881,GB,5102,1102
310,0,0,0,0,0,0,0,0,0,0,-0.8996028,52.7664795,GB,5102,1102
311,0,0,0,0,0,0,0,0,0,0,-0.8997073,52.7664535,GB,5102,1102
312,0,0,0,0,0,0,0,0,0,0,-0.8997667,52.7664451,GB,5102,1102
313,0,0,0,0,0,0,0,0,0,0,-0.8998709,52.7664281,GB,5102,1102
314,0,0,0,0,0,0,0,0,0,0,-0.8999455,52.7664108,GB,5102,1102
